jsa8-2 #4 1
4/26/2018 2:24 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.09667	
//WLCalib: 261S 	-0.15000	
//WLCalib: 362S 	-0.12000	
//WLCalib: 484S 	0.11000	
//WLCalib: 529S 	0.18000	
//WLCalib: 823S 	-0.47000	
//QSpecEnd: 
190.0	0.022
190.5	0.002
191.0	0.000
191.5	0.025
192.0	0.038
192.5	0.045
193.0	0.045
193.5	0.038
194.0	0.035
194.5	0.028
195.0	0.014
195.5	-0.005
196.0	0.010
196.5	0.013
197.0	0.013
197.5	0.011
198.0	0.008
198.5	0.001
199.0	0.003
199.5	0.000
200.0	-0.003
200.5	-0.005
201.0	-0.005
201.5	-0.005
202.0	-0.003
202.5	-0.001
203.0	0.002
203.5	0.000
204.0	0.000
204.5	0.000
205.0	0.000
205.5	0.000
206.0	0.000
206.5	0.000
207.0	-0.001
207.5	0.000
208.0	0.002
208.5	0.002
209.0	0.003
209.5	0.004
210.0	0.005
210.5	0.004
211.0	0.003
211.5	0.002
212.0	-0.001
212.5	0.001
213.0	0.000
213.5	-0.001
214.0	0.000
214.5	0.000
215.0	0.000
215.5	0.000
216.0	0.000
216.5	-0.001
217.0	0.006
217.5	0.000
218.0	-0.006
218.5	-0.011
219.0	-0.013
219.5	-0.014
220.0	-0.013
220.5	-0.010
221.0	-0.006
221.5	0.000
222.0	0.008
222.5	-0.003
223.0	-0.003
223.5	0.004
224.0	0.011
224.5	0.013
225.0	0.014
225.5	0.013
226.0	0.011
226.5	0.007
227.0	0.002
227.5	-0.007
228.0	-0.002
228.5	0.001
229.0	0.003
229.5	0.004
230.0	-0.001
230.5	-0.005
231.0	-0.008
231.5	-0.010
232.0	-0.007
232.5	-0.010
233.0	-0.010
233.5	-0.021
234.0	-0.003
234.5	0.009
235.0	0.017
235.5	0.019
236.0	0.014
236.5	0.017
237.0	0.018
237.5	0.008
238.0	0.001
238.5	-0.008
239.0	0.002
239.5	0.003
240.0	0.001
